row_id	orders	rider	cost
1226160	641	2578	0.34200000000000053
1227301	857	2955	0.028000000000000469
1231570	483	1476	0.52800000000000047
1236497	241	2236	6.5816000000000017
1242705	123	2142	0.57999999999999963
1242819	139	1286	0.98876666666666779
1246504	545,834,940	2357	23.263377777777777
1251807	391,861,1047	2026	19.062366666666666
1254084	242,511,1026	448	1.7220000000000006
1254453	1163	462	15.869999999999999
1256448	339	2591	4.8739999999999997
1256710	696,1206	1707	11.045999999999999
1258174	646	2272	0.72932415458937205
1261829	79	3306	1.8303111111111106
1270860	636	1299	13.504
1271638	806	991	11.617341399176954
1272189	916	2292	0.5201444444444423
1274818	205	1709	3.2902222222222206
1275044	261	2246	12.356000000000002
1277744	764	2269	0.78418888888888816
1279011	115,754,1009	2288	23.217444444444446
1282642	420	1004	0.34399999999999942
1285219	133,686	1567	6.7722333333333342
1287976	259	2469	1.0199999999999996
1287993	264	587	0.14400000000000013
1289012	460	2391	16.974
1292792	1173	1791	11.808
1293172	1228	544	0.16999999999999993
1300844	145	574	2.6811777777777772
1301395	1086,1159	302	16.036000000000001
1306324	227,1120,1127,1161	593	12.442
1310782	797	2830	3.6259999999999994
1312016	1004	2088	12.641999999999999
1316577	597	1834	3.8600000000000003
1320966	207	793	7.2624555555555554
1325255	760,922	3400	4.569877777777779
1327469	195	757	0.7515111111111118
1335503	481	2556	3.6820000000000004
